Epoch,Batch,MSE,PSNR,SSIM
20,18,0.0523,13.1853,0.7667
20,19,0.0486,13.3506,0.8592
20,20,0.0509,13.3621,0.7970
20,21,0.0446,13.8340,0.8187
20,22,0.0542,12.7816,0.8238
20,23,0.0569,13.1241,nan
20,24,0.0416,13.9063,0.9238
20,25,0.0400,13.8584,0.7799
21,1,0.0595,13.2494,0.7316
21,2,0.0569,12.6079,0.7594
21,3,0.0450,13.5375,0.7303
21,4,0.0558,13.2251,0.7111
21,5,0.0540,13.0420,0.8400
21,6,0.0374,14.4008,0.8903
21,7,0.0450,13.7684,0.7875
21,8,0.0547,13.2866,0.8174
21,9,0.0509,13.1409,0.8705
21,10,0.0512,13.5554,0.8484
21,11,0.0604,13.0426,0.7976
21,12,0.0548,13.0810,nan
21,13,0.0455,13.4511,0.7544
21,14,0.0579,12.4932,0.8237
21,15,0.0536,12.7638,0.8287
21,16,0.0494,13.1247,0.8663
21,17,0.0456,13.3061,0.8459
21,18,0.0450,13.5383,0.7825
21,19,0.0496,13.5268,0.8409
21,20,0.0402,13.9644,0.8949
21,21,0.0425,13.6923,0.8476
21,22,0.0556,13.0047,0.7753
21,23,0.0537,13.2237,nan
21,24,0.0435,13.5756,0.8562
21,25,0.0530,13.1752,0.7843
22,1,0.0372,14.1967,0.8161
22,2,0.0493,13.3389,0.8309
22,3,0.0464,13.6442,0.7762
22,4,0.0448,13.4848,0.8042
22,5,0.0387,14.3338,0.8502
22,6,0.0452,13.7251,0.8935
22,7,0.0471,13.7188,0.8106
22,8,0.0511,13.3305,0.7554
22,9,0.0422,13.6974,0.7770
22,10,0.0586,12.7231,0.8239
22,11,0.0457,14.0116,0.8242
22,12,0.0683,12.3377,0.7826
22,13,0.0475,13.1448,0.7663
22,14,0.0468,13.3297,0.7896
22,15,0.0510,13.3615,0.8005
22,16,0.0414,14.0938,0.8088
22,17,0.0385,14.5409,0.8320
22,18,0.0537,13.0331,0.7576
22,19,0.0436,13.8726,0.8731
22,20,0.0490,13.4680,0.7970
22,21,0.0434,14.1587,0.7133
22,22,0.0472,14.4124,0.7695
22,23,0.0457,13.4540,0.8443
22,24,0.0467,13.8069,nan
22,25,0.0470,13.3271,0.8126
23,1,0.0705,11.6889,0.7135
23,2,0.0379,14.0277,0.7993
23,3,0.0377,14.1060,0.8814
23,4,0.0364,14.3991,0.8419
23,5,0.0400,14.1218,0.8373
23,6,0.0499,13.8581,0.8322
23,7,0.0585,12.9194,0.8132
23,8,0.0547,12.9139,0.8022
23,9,0.0620,12.9530,0.7696
23,10,0.0485,13.2758,0.7498
23,11,0.0638,12.1605,0.8175
23,12,0.0421,13.5765,0.7158
23,13,0.0397,14.1480,0.7758
23,14,0.0593,12.5441,0.8274
23,15,0.0470,13.3300,0.9043
23,16,0.0564,13.3102,0.8525
23,17,0.0358,14.5278,0.8624
23,18,0.0581,13.2840,0.8167
23,19,0.0405,14.5349,0.8256
23,20,0.0429,13.8271,0.8201
23,21,0.0497,13.3842,0.8023
23,22,0.0351,14.5367,0.8941
23,23,0.0590,13.0220,0.7532
23,24,0.0468,13.4323,0.7988
23,25,0.0530,13.0003,0.7375
24,1,0.0574,12.6152,0.7456
24,2,0.0532,12.8624,nan
24,3,0.0496,13.1793,0.8310
24,4,0.0423,14.0761,0.8152
24,5,0.0576,12.8902,0.7545
24,6,0.0514,13.5205,0.8697
24,7,0.0581,13.2033,0.7560
24,8,0.0440,13.7092,0.9006
24,9,0.0480,13.5461,0.8082
24,10,0.0658,12.2074,0.7375
24,11,0.0420,13.8591,0.8195
24,12,0.0464,13.4094,0.7983
24,13,0.0573,12.9697,0.8398
24,14,0.0329,15.0437,0.9018
24,15,0.0580,12.8162,0.8201
24,16,0.0462,13.7493,0.8325
24,17,0.0402,14.1092,0.8864
24,18,0.0438,13.6014,0.9329
24,19,0.0411,14.1944,0.8082
24,20,0.0396,14.2900,0.8610
24,21,0.0619,12.9259,0.7899
24,22,0.0521,13.1021,0.8477
24,23,0.0485,13.7001,0.7131
24,24,0.0638,12.7279,nan
24,25,0.0544,12.8628,0.8118
25,1,0.0610,12.3620,0.7024
25,2,0.0506,13.0435,0.7954
25,3,0.0539,12.8165,0.8350
25,4,0.0415,13.7970,0.8300
25,5,0.0516,13.4231,nan
25,6,0.0405,13.9201,0.8318
25,7,0.0542,13.2663,0.8649
25,8,0.0556,12.9382,0.8111
25,9,0.0473,13.4152,0.7890
25,10,0.0481,13.4413,0.8304
25,11,0.0408,13.8969,0.8496
25,12,0.0482,13.4360,0.7908
25,13,0.0513,13.0078,0.7063
25,14,0.0465,13.2855,0.8407
25,15,0.0466,13.4413,0.8454
25,16,0.0424,13.6469,0.7969
25,17,0.0448,13.6825,0.8102
25,18,0.0595,12.8087,0.6851
25,19,0.0438,13.7244,nan
25,20,0.0478,13.6282,0.8099
25,21,0.0440,13.9211,0.8555
25,22,0.0518,13.1792,0.8242
25,23,0.0520,13.3960,0.8293
25,24,0.0515,12.9799,0.8617
25,25,0.0382,14.3902,0.8636
26,1,0.0482,13.6005,0.7719
26,2,0.0491,13.4137,0.8354
26,3,0.0570,12.6032,0.7534
26,4,0.0396,13.8605,0.8811
26,5,0.0435,13.6464,0.7948
26,6,0.0630,12.7720,0.7593
26,7,0.0372,14.3106,0.8340
26,8,0.0469,13.3403,0.8520
26,9,0.0427,14.1668,0.7956
26,10,0.0716,11.7720,0.8247
26,11,0.0487,13.3470,0.8525
26,12,0.0472,13.6042,0.7784
